category,sub-cateogry,branch
aboriginal,First Nations,Shared Services Canada
aboriginal,First Nations,Shared Services Canada
aboriginal,aboriginal people,Shared Services Canada
alcohol,beer,Statistics Canada
alcohol,beer,Department of Justice Canada
alcohol,beer,Department of Justice Canada
alcohol,whiskey,Shared Services Canada
alcohol,whiskey,Shared Services Canada
alcohol,beer,Shared Services Canada
animal,water animal,Finance Canada
animal,water animal,Shared Services Canada
art,political history,Canadian Department of National Defence
art,environmental history,Environment Canada
art,environmental history,Environment Canada
art,environmental history,Environment Canada
art,environmental history,Environment Canada
art,sociology,Department of Justice Canada
art,sociology,Department of Justice Canada
art,sociology,Department of Justice Canada
art,sociology,Department of Justice Canada
art,sociology,Department of Justice Canada
art,sociology,Department of Justice Canada
art,sociology,Department of Justice Canada
art,political history,Shared Services Canada
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
art,geographic history,Canadian Department of National Defence
arts,art viewer,Department of Justice Canada
arts,sculpture,Shared Services Canada
arts,architecture,Canadian Department of National Defence
arts,legend,Department of Justice Canada
arts,architecture,Natural Resources Canada
arts,architecture,Natural Resources Canada
arts,actor,Environment Canada
automobiles,car,Canadian Department of National Defence
automobiles,car,Canadian Department of National Defence
automobiles,car,Canadian Department of National Defence
automobiles,car,Canadian Department of National Defence
automobiles,car,Canadian Department of National Defence
automobiles,car,Canadian Department of National Defence
automobiles,motorcycle,Environment Canada
automobiles,car,Finance Canada
automobiles,car,Shared Services Canada
aviation,airport,Environment Canada
aviation,airline,Shared Services Canada
aviation,plane,Department of Justice Canada
aviation,airline,Shared Services Canada
aviation,airport,Shared Services Canada
aviation,airport,Shared Services Canada
aviation,helicopter,Canadian Department of National Defence
aviation,airport,Canadian House of Commons
aviation,airport,Canadian Department of National Defence
aviation,airport,Canadian Department of National Defence
aviation,airline,Canadian Department of National Defence
aviation,airline,Shared Services Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
category,category,Environment Canada
commons,commons,Canadian Department of National Defence
company,company,Canadian Department of National Defence
company,restauraunt,Canadian Department of National Defence
company,restauraunt,Canadian Department of National Defence
company,restauraunt,Canadian Department of National Defence
company,restauraunt,Canadian Department of National Defence
company,construction company,Canadian Broadcasting Corporation
company,construction company,Canadian Broadcasting Corporation
company,construction company,Canadian Broadcasting Corporation
company,media company,Shared Services Canada
company,company,Industry Canada
company,media company,Shared Services Canada
company,retail company,Shared Services Canada
company,retail company,Shared Services Canada
company,company,Shared Services Canada
deleted,deleted,Environment Canada
deleted,deleted,Canadian Department of National Defence
deleted,deleted,Canadian Department of National Defence
deleted,deleted,Canadian Department of National Defence
deleted,deleted,Canadian Department of National Defence
deleted,deleted,Canadian Department of National Defence
deleted,deleted,Canadian Space Agency
deleted,deleted,Canadian Space Agency
deleted,deleted,Canadian Space Agency
deleted,deleted,Canadian Space Agency
deleted,deleted,Shared Services Canada
disambiguation,disambiguation,Shared Services Canada
disambiguation,disambiguation,Shared Services Canada
disambiguation,disambiguation,Shared Services Canada
disambiguation,disambiguation,Canadian Department of National Defence
disambiguation,disambiguation,Canadian Department of National Defence
disambiguation,disambiguation,Canadian Department of National Defence
disambiguation,disambiguation,Canadian Department of National Defence
disambiguation,disambiguation,Canadian Department of National Defence
disambiguation,disambiguation,Canadian Department of National Defence
disambiguation,disambiguation,Canadian Department of National Defence
draft,draft,Shared Services Canada
draft,draft,Finance Canada
draft,draft,Shared Services Canada
draft,draft,Finance Canada
draft,draft,Shared Services Canada
draft,draft,Shared Services Canada
draft,draft,Canadian House of Commons
draft,draft,Canadian Department of National Defence
draft,draft,Canadian Department of National Defence
draft,draft,Canadian Department of National Defence
education,university,Department of Justice Canada
education,high school,Shared Services Canada
education,high school,Shared Services Canada
education,school,Canadian Department of National Defence
education,school,Canadian Department of National Defence
education,university,Industry Canada
education,university,Industry Canada
education,high school,Shared Services Canada
education,high school,Shared Services Canada
education,high school,Canadian Department of National Defence
education,high school,Shared Services Canada
education,university,Shared Services Canada
education,high school,Shared Services Canada
education,high school,Shared Services Canada
education,university,Industry Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,theory,Shared Services Canada
education,university,Shared Services Canada
education,education event,Canadian Broadcasting Corporation
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,university,Shared Services Canada
education,high school,Shared Services Canada
education,high school,Canadian Department of National Defence
education,high school,Canadian Department of National Defence
education,high school,Canadian Department of National Defence
education,high school,Canadian Department of National Defence
education,high school,Shared Services Canada
education,professor,Shared Services Canada
education,professor,Shared Services Canada
education,high school,Shared Services Canada
file,file,Canadian Department of National Defence
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Shared Services Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
file,file,Environment Canada
