date,time,category,title,branch,link
2014-08-19,20:10:06,flood,1973 Saint John River Flood,Environment Canada,http://en.wikipedia.org/w/index.php?diff=621961010&oldid=392181499
2014-08-19,20:21:23,flood,1973 Saint John River Flood,Environment Canada,http://en.wikipedia.org/w/index.php?diff=621962580&oldid=621961010
2014-10-06,09:34:09,math,80 (nombre),Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=108001101&oldid=106719594&rcid=126992624
2014-07-14,18:06:12,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=616942063&oldid=616709271
2014-12-09,19:29:57,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637361816&oldid=635085148
2014-12-09,19:35:02,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637362541&oldid=637361816
2014-12-09,19:36:05,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637362711&oldid=637362541
2014-12-09,19:37:04,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637362835&oldid=637362711
2014-11-18,19:26:14,theory,Air pollution,Environment Canada,http://en.wikipedia.org/w/index.php?diff=634417061&oldid=634401335
2014-12-10,22:46:38,theory,Algue,Department of Fisheries and Oceans,http://fr.wikipedia.org/w/index.php?diff=109849940&oldid=109033223&rcid=131163009
2014-12-10,22:46:38,theory,Algue,Shared Services Canada,http://fr.wikipedia.org/w/index.php?diff=109849940&oldid=109033223&rcid=131163009
2014-08-06,19:36:27,science object,Amoeba Culture,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620133793&oldid=619980111
2014-09-18,19:36:54,science object,Amoeba Culture,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=626123248&oldid=624018430
2014-08-01,19:42:14,medicine,Anemia,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=619462578&oldid=619394933
2014-10-03,19:35:51,theory,Autoregressive conditional heteroskedasticity,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=628121658&oldid=625825395
2014-10-03,19:36:47,theory,Autoregressive conditional heteroskedasticity,Statistics Canada,http://en.wikipedia.org/w/index.php?diff=628121766&oldid=628121658
2014-08-15,14:08:45,science object,Bean,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=621354440&oldid=619214783
2014-08-06,13:26:12,animal,Bull shark,Library and Archives Canada,http://en.wikipedia.org/w/index.php?diff=620091188&oldid=617280649
2014-11-13,18:10:42,theory,Capteur à effet Hall,Canadian Department of National Defence,http://fr.wikipedia.org/w/index.php?diff=109093545&oldid=107824547&rcid=129538976
2014-10-07,07:26:56,theory,Central sleep apnea,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=628599834&oldid=622286036
2014-11-24,18:34:10,science object,Cinnabar,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=635270286&oldid=625957822
2015-02-21,15:34:01,theory,Climat des Hautes-Pyrénées,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=112058480&oldid=110035618&rcid=135986986
2014-08-29,19:12:29,theory,Closed system,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=623348647&oldid=616937263
2014-12-17,16:05:43,theory,Coeur du courant-jet,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=110034499&rcid=131612077
2014-08-06,16:35:15,math,Coin flipping,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=620112741&oldid=619593042
2014-12-09,19:55:33,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637365434&oldid=630367281
2014-12-09,19:57:15,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637365683&oldid=637365434
2014-12-09,19:58:49,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=637365949&oldid=637365683
2014-12-29,13:17:54,theory,Context-based model of minimal coun,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=640088364&oldid=637365949
2014-09-17,13:14:14,math,Crombie REIT,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=625942171&oldid=605165823
2014-11-04,21:12:08,theory,Crue de projet,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=108847203&oldid=108317630&rcid=128838898
2014-11-04,21:12:48,theory,Crue nominale,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=108847225&rcid=128838920
2014-11-04,21:13:20,theory,Crue type,Environment Canada,http://fr.wikipedia.org/w/index.php?oldid=108847238&rcid=128838933
2014-10-16,19:28:25,theory,Cyclone Hudhud,Environment Canada,http://en.wikipedia.org/w/index.php?diff=629890573&oldid=629889455
2014-09-30,07:42:39,theory,Denial,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=627651164&oldid=626835040
2014-12-17,22:33:11,theory,Digitation visqueuse,Environment Canada,http://fr.wikipedia.org/w/index.php?diff=110046127&oldid=97625997&rcid=131637171
2014-12-04,15:02:55,science object,Dmanisi skull,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=636612869&oldid=636257422
2014-12-04,15:04:53,science object,Dmanisi skull,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=636613107&oldid=636612869
2015-01-27,15:21:02,scientist,Duncan McNab McEachran,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=644414220&oldid=638267436
2014-08-18,14:48:54,animal,Eastern wolf,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621778952&oldid=616135152
2014-08-18,14:51:15,animal,Eastern wolf,Shared Services Canada,http://en.wikipedia.org/w/index.php?diff=621779183&oldid=621778952
