Start Date,End Date,Event Title,Arc,Label,Tags,Participants,Notes
09/07/2014,09/07/2014,IFAF World Championship,,sports,football,Government of Canada,
09/07/2014,09/07/2014,International Federation of American Football,,sports,soccer,Government of Canada,
11/07/2014,11/07/2014,List of military special forces units,,military,military unit,Canadian Department of National Defence,
11/07/2014,11/07/2014,Zwolle,,place,europe,Canadian House of Commons,
11/07/2014,11/07/2014,Zwolle,,place,europe,Canadian House of Commons,
11/07/2014,11/07/2014,René Lévesque,,politics,politician,Canadian Department of National Defence,
14/07/2014,14/07/2014,Ottawa Renegades,,sports,football,Canadian House of Commons,
14/07/2014,14/07/2014,Regional Cadet Support Unit (Eastern),,military,military unit,Canadian Department of National Defence,
14/07/2014,14/07/2014,Afzal Upal,,science,scientist,Canadian Department of National Defence,
14/07/2014,14/07/2014,Shelly Glover,,politics,politician,Canadian House of Commons,
14/07/2014,14/07/2014,Shelly Glover,,politics,politician,Canadian House of Commons,
15/07/2014,15/07/2014,HMCS St. John's (FFH 340),,military,military unit,Canadian Department of National Defence,
15/07/2014,15/07/2014,HMCS St. John's (FFH 340),,military,military unit,Canadian Department of National Defence,
15/07/2014,15/07/2014,HMCS St. John's (FFH 340),,military,military unit,Canadian Department of National Defence,
15/07/2014,15/07/2014,HMCS St. John's (FFH 340),,military,military unit,Canadian Department of National Defence,
15/07/2014,15/07/2014,Trans-Taiga Road,,place,quebec canada,Canadian Department of National Defence,
15/07/2014,15/07/2014,Trans-Taiga Road,,place,quebec canada,Canadian Department of National Defence,
15/07/2014,15/07/2014,CFS Leitrim,,military,military place,Canadian House of Commons,
15/07/2014,15/07/2014,Dean Del Mastro,,politics,politician,Canadian House of Commons,
15/07/2014,15/07/2014,Dean Del Mastro,,politics,politician,Canadian House of Commons,
15/07/2014,15/07/2014,Dean Del Mastro,,politics,politician,Canadian House of Commons,
15/07/2014,15/07/2014,Dean Del Mastro,,politics,politician,Canadian House of Commons,
15/07/2014,15/07/2014,Small Dead Animals,,media,internet,Canadian House of Commons,
15/07/2014,15/07/2014,Small Dead Animals,,media,internet,Canadian House of Commons,
15/07/2014,15/07/2014,User talk:192.197.82.203,,user,user,Canadian House of Commons,
15/07/2014,15/07/2014,Dean Del Mastro,,politics,politician,Canadian House of Commons,
15/07/2014,15/07/2014,Canadian Museum of History,,place,ontario canada,Canadian House of Commons,
15/07/2014,15/07/2014,Small Dead Animals,,media,internet,Canadian House of Commons,
15/07/2014,15/07/2014,User talk:192.197.82.203,,user,user,Canadian House of Commons,
16/07/2014,16/07/2014,SIG Sauer P220,,military,military equipment,Canadian Department of National Defence,
16/07/2014,16/07/2014,Pierre-Hugues Boisvenu,,politics,politician,Canadian House of Commons,
16/07/2014,16/07/2014,4th Canadian Division Support Group,,military,military unit,Canadian Department of National Defence,
16/07/2014,16/07/2014,4th Canadian Division Support Group,,military,military unit,Canadian Department of National Defence,
16/07/2014,16/07/2014,4th Canadian Division Support Group,,military,military unit,Canadian Department of National Defence,
16/07/2014,16/07/2014,4th Canadian Division Support Group,,military,military unit,Canadian Department of National Defence,
16/07/2014,16/07/2014,4th Canadian Division Support Group,,military,military unit,Canadian Department of National Defence,
16/07/2014,16/07/2014,4th Canadian Division,,military,military unit,Canadian Department of National Defence,
17/07/2014,17/07/2014,HMCS St. John's (FFH 340),,military,military unit,Canadian Department of National Defence,
18/07/2014,18/07/2014,Canadian Military Engineers,,military,military unit,Canadian Department of National Defence,
18/07/2014,18/07/2014,The Current (radio program),,media,radio,Department of Justice Canada,
18/07/2014,18/07/2014,Princess Patricia's Canadian Li,,military,military unit,Canadian Department of National Defence,
18/07/2014,18/07/2014,Battle of the Allia,,military,military battle,Natural Resources Canada,
18/07/2014,18/07/2014,Battle of the Allia,,military,military battle,Natural Resources Canada,
20/07/2014,20/07/2014,宣道會陳元喜小學,,language,language,Canadian Department of National Defence,
21/07/2014,21/07/2014,Naval Radio Section Aldergrove,,military,military place,Canadian Department of National Defence,
21/07/2014,21/07/2014,HMCS Esquimalt (J272),,military,military unit,Canadian Department of National Defence,
21/07/2014,21/07/2014,Ottawa Redblacks,,sports,football,Canadian House of Commons,
21/07/2014,21/07/2014,6th BRICS summit,,politics,politics event,Canadian Department of National Defence,
21/07/2014,21/07/2014,Richard Conn,,sports,football,Natural Resources Canada,
