coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Mar 02 16:17:30 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649549392&oldid=647175731,1,572430539350781952,,,,en,,False,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",this bot-scrape is art RT @gccaedits Quebec French profanity Wikipedia edited anonymously from Shared Services Canada http://t.co/1n9Gv92pow,https://twitter.com/purpledocket/status/572430539350781952,Thu Mar 24 14:01:28 +0000 2011,purpledocket,False,"Politics, media, tech, language, sass, quadruple-entendres, and Oxford commas.",10901,1302,1016,42,"Toronto, ON",Seb FoxAllen,purpledocket,23687,Atlantic Time (Canada),http://pleaserevise.tumblr.com,False
,Mon Mar 02 16:08:54 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649549392&oldid=647175731,1,572428374574014465,,,,en,,False,0,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",RT @gccaedits: Quebec French profanity Wikipedia article edited anonymously from Shared Services Canada http://t.co/LniBJJRdLu,https://twitter.com/jpress/status/572428374574014465,Tue Feb 17 22:29:47 +0000 2009,jpress,False,"Dog owner, @OttawaCitizen parliamentary reporter skulking around #SenCA, focused on digital storytelling & news literacy research. Tweets are my own.",198,3627,1248,193,"Ottawa, Ontario",Jordan Press,jpress,21367,Eastern Time (US & Canada),http://facebook.com/jordan.b.press,False
,Mon Mar 02 16:08:47 +0000 2015,cdnpoli,,http://en.wikipedia.org/w/index.php?diff=649549392&oldid=647175731,0,572428343993237504,gccaedits,572428076958801920,2613454796,en,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",“@gccaedits: Quebec French profanity Wikipedia article edited anonymously from Shared Services Canada http://t.co/FWbib4pBJT” #cdnpoli why?,https://twitter.com/LoganBBH/status/572428343993237504,Sun Oct 18 07:56:07 +0000 2009,LoganBBH,False,,32,85,504,1,"Regina, SK",Logan B,LoganBBH,2874,Saskatchewan,,False
,Mon Mar 02 16:08:16 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649549392&oldid=647175731,0,572428215316299779,,,,en,,False,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Hostie... @gccaedits: Quebec French profanity Wikipedia article edited anonymously from Shared Services Canada http://t.co/B4OhISUmNE,https://twitter.com/johnbowman/status/572428215316299779,Fri Feb 01 20:51:40 +0000 2008,johnbowman,False,"Social media news producer. I'm ^jb on @CBCNews, @CBCCommunity. Early riser and #bikeTO commuter. Tweet miner and myth debunker. Geeky dad and Lego maniac.",1478,3237,1329,223,"East York, Ontario, Canada",John Bowman,johnbowman,26681,Eastern Time (US & Canada),http://johnbowman.net,True
,Mon Mar 02 16:07:43 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649549392&oldid=647175731,0,572428076958801920,,,,en,,False,3,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Quebec French profanity Wikipedia article edited anonymously from Shared Services Canada http://t.co/Y8j3ZyTt1l,https://twitter.com/gccaedits/status/572428076958801920,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 15:44:37 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649546653&oldid=649546545,0,572422262902689792,,,,en,,False,3,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Colt Canada C7 rifle Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/xagyA9BZ4R,https://twitter.com/gccaedits/status/572422262902689792,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 15:43:43 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649546545&oldid=649546041,0,572422035688833024,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Colt Canada C7 rifle Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/Vym2WaktEl,https://twitter.com/gccaedits/status/572422035688833024,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 15:39:39 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649546041&oldid=649165073,0,572421013138513921,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Colt Canada C7 rifle Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/CBh4A45iOo,https://twitter.com/gccaedits/status/572421013138513921,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 14:56:32 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649540645&oldid=577847096,0,572410162960605184,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Beryl McBurnie Wikipedia article edited anonymously from Shared Services Canada http://t.co/Qjsfrh2apH,https://twitter.com/gccaedits/status/572410162960605184,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Mar 02 14:54:41 +0000 2015,NHLTradeDeadline,,,0,572409699846512640,,,,fr,,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Un fonctionnaire branché sur le #NHLTradeDeadline RT @gccaedits: Jeff Petry Wikipedia article edited anonymously from Shared Services Canada,https://twitter.com/JulienPaquette/status/572409699846512640,Wed Aug 19 03:14:16 +0000 2009,JulienPaquette,False,Journaliste à @LeDroitca / Trésorier - FPJQ Outaouais / Maîtrise en communication à uOttawa / jpaquette@ledroit.com / 819-360-5205,113,717,867,18,"Gatineau, Qc",Julien Paquette,JulienPaquette,12202,Quito,,False
,Mon Mar 02 14:54:00 +0000 2015,TradeCentre,,http://en.wikipedia.org/w/index.php?diff=649540248&oldid=649537994,0,572409525996806144,gccaedits,572409331267862528,2613454796,en,,False,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",“@gccaedits: Jeff Petry Wikipedia article edited anonymously from Shared Services Canada http://t.co/efy4oHJl2L” #TradeCentre,https://twitter.com/BigredRyan01/status/572409525996806144,Tue Sep 20 17:31:03 +0000 2011,BigredRyan01,False,"Music Geek,Beer Drinker,Scotch Sipper. #Redwings fan. Communications student. radio guy. Mental health advocate.Tweets are my own #KCCO",5570,747,1951,7,,Ryan Forsyth,BigredRyan01,6500,Eastern Time (US & Canada),,False
,Mon Mar 02 14:53:14 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=649540248&oldid=649537994,0,572409331267862528,,,,en,,False,7,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Jeff Petry Wikipedia article edited anonymously from Shared Services Canada http://t.co/Bj2MYr4yS2,https://twitter.com/gccaedits/status/572409331267862528,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Sun Mar 01 19:00:15 +0000 2015,,,http://fr.wikipedia.org/w/index.php?diff=112323266&oldid=112323169&rcid=136566049,0,572109110688268289,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Nuage noctulescent Wikipedia article edited anonymously from Environment Canada http://t.co/ag4RZtdiRo,https://twitter.com/gccaedits/status/572109110688268289,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6173,73,149,Canada,Gov. of Canada edits,gccaedits,2035,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
