"contributors","truncated","text","in_reply_to_status_id","id","favorite_count","source","retweeted","coordinates","entities__urls__url","entities__urls__indices001","entities__urls__indices002","entities__urls__expanded_url","entities__urls__display_url","in_reply_to_screen_name","in_reply_to_user_id","retweet_count","id_str","favorited","user__follow_request_sent","user__profile_use_background_image","user__profile_text_color","user__default_profile_image","user__id","user__profile_background_image_url_https","user__verified","user__profile_location","user__profile_image_url_https","user__profile_sidebar_fill_color","user__entities__url__urls__url","user__entities__url__urls__indices001","user__entities__url__urls__indices002","user__entities__url__urls__expanded_url","user__entities__url__urls__display_url","user__entities__description__urls__url","user__entities__description__urls__indices001","user__entities__description__urls__indices002","user__entities__description__urls__expanded_url","user__entities__description__urls__display_url","user__followers_count","user__profile_sidebar_border_color","user__id_str","user__profile_background_color","user__listed_count","user__is_translation_enabled","user__utc_offset","user__statuses_count","user__description","user__friends_count","user__location","user__profile_link_color","user__profile_image_url","user__following","user__geo_enabled","user__profile_banner_url","user__profile_background_image_url","user__name","user__lang","user__profile_background_tile","user__favourites_count","user__screen_name","user__notifications","user__url","user__created_at","user__contributors_enabled","user__time_zone","user__protected","user__default_profile","user__is_translator","geo","in_reply_to_user_id_str","possibly_sensitive","lang","created_at","in_reply_to_status_id_str","place","metadata__iso_language_code","metadata__result_type","entities__user_mentions__id","entities__user_mentions__indices001","entities__user_mentions__indices002","entities__user_mentions__id_str","entities__user_mentions__screen_name","entities__user_mentions__name","entities__hashtags__indices001","entities__hashtags__indices002","entities__hashtags__text","entities__|","entities__|__source_user_id","entities__|__source_status_id_str","entities__|__expanded_url","entities__|__display_url","entities__|__url","entities__|__media_url_https","entities__|__source_user_id_str","entities__|__source_status_id","entities__|__id_str","entities__|__sizes__small__h","entities__|__sizes__small__resize","entities__|__sizes__small__w","entities__|__sizes__large__h","entities__|__sizes__large__resize","entities__|__sizes__large__w","entities__|__sizes__medium__h","entities__|__sizes__medium__resize","entities__|__sizes__medium__w","entities__|__sizes__thumb__h","entities__|__sizes__thumb__resize","entities__|__sizes__thumb__w","entities__|__indices001","entities__|__indices002","entities__|__type","entities__|__id","entities__|__media_url","|","|__contributors","|__truncated","|__text","|__in_reply_to_status_id","|__id","|__favorite_count","|__source","|__retweeted","|__coordinates","|__entities__user_mentions__id","|__entities__user_mentions__indices001","|__entities__user_mentions__indices002","|__entities__user_mentions__id_str","|__entities__user_mentions__screen_name","|__entities__user_mentions__name","|__entities__hashtags__indices001","|__entities__hashtags__indices002","|__entities__hashtags__text","|__entities__media__expanded_url","|__entities__media__display_url","|__entities__media__url","|__entities__media__media_url_https","|__entities__media__id_str","|__entities__media__sizes__small__h","|__entities__media__sizes__small__resize","|__entities__media__sizes__small__w","|__entities__media__sizes__large__h","|__entities__media__sizes__large__resize","|__entities__media__sizes__large__w","|__entities__media__sizes__medium__h","|__entities__media__sizes__medium__resize","|__entities__media__sizes__medium__w","|__entities__media__sizes__thumb__h","|__entities__media__sizes__thumb__resize","|__entities__media__sizes__thumb__w","|__entities__media__indices001","|__entities__media__indices002","|__entities__media__type","|__entities__media__id","|__entities__media__media_url","|__in_reply_to_screen_name","|__in_reply_to_user_id","|__retweet_count","|__id_str","|__favorited","|__user__follow_request_sent","|__user__profile_use_background_image","|__user__profile_text_color","|__user__default_profile_image","|__user__id","|__user__profile_background_image_url_https","|__user__verified","|__user__profile_location","|__user__profile_image_url_https","|__user__profile_sidebar_fill_color","|__user__entities__url__urls__url","|__user__entities__url__urls__indices001","|__user__entities__url__urls__indices002","|__user__entities__url__urls__expanded_url","|__user__entities__url__urls__display_url","|__user__followers_count","|__user__profile_sidebar_border_color","|__user__id_str","|__user__profile_background_color","|__user__listed_count","|__user__is_translation_enabled","|__user__utc_offset","|__user__statuses_count","|__user__description","|__user__friends_count","|__user__location","|__user__profile_link_color","|__user__profile_image_url","|__user__following","|__user__geo_enabled","|__user__profile_banner_url","|__user__profile_background_image_url","|__user__name","|__user__lang","|__user__profile_background_tile","|__user__favourites_count","|__user__screen_name","|__user__notifications","|__user__url","|__user__created_at","|__user__contributors_enabled","|__user__time_zone","|__user__protected","|__user__default_profile","|__user__is_translator","|__geo","|__in_reply_to_user_id_str","|__possibly_sensitive","|__lang","|__created_at","|__in_reply_to_status_id_str","|__place","|__metadata__iso_language_code","|__metadata__result_type"
"null","False","65th Infantry Regiment (United Stat Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/PufmHDNAWM","null","570334593598955520","0","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","False","null","http://t.co/PufmHDNAWM","118","140","http://en.wikipedia.org/w/index.php?diff=648686432&oldid=642862448","en.wikipedia.org/w/index.php?di…","null","null","1","570334593598955520","False","False","False","333333","False","2613454796","https://abs.twimg.com/images/themes/theme1/bg.png","False","null","https://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","DDEEF6","https://t.co/4ZSbMvg1K1","0","23","https://github.com/ruebot/gccaedits-ip-address-ranges","github.com/ruebot/gccaedi…","https://t.co/mip4rTkvth","117","140","https://github.com/edsu/anon","github.com/edsu/anon","6161","FFFFFF","2613454796","FFFFFF","147","False","-18000","1979","I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth","73","Canada","FF0000","http://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","True","False","https://pbs.twimg.com/profile_banners/2613454796/1404907996","http://abs.twimg.com/images/themes/theme1/bg.png","Gov. of Canada edits","en","False","9","gccaedits","False","https://t.co/4ZSbMvg1K1","Wed Jul 09 12:06:54 +0000 2014","False","Eastern Time (US & Canada)","False","False","False","null","null","False","en","Tue Feb 24 21:28:58 +0000 2015","null","null","en","recent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","Great, now I'm craving one RT@gccaedits Wagon Wheels Wikipedia article edited by anon at Shared Services Canada http://t.co/dXslBj4Gcn …","570282222135193601","570287035149365248","0","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","False","null","http://t.co/dXslBj4Gcn","112","134","http://en.wikipedia.org/w/index.php?diff=648657732&oldid=648587757","en.wikipedia.org/w/index.php?di…","gccaedits","2613454796","0","570287035149365248","False","False","True","663B12","False","213334556","https://pbs.twimg.com/profile_background_images/438323927698268160/kcjV2tLv.jpeg","False","null","https://pbs.twimg.com/profile_images/423461962446409728/t__d2K1o_normal.jpeg","DAECF4","","","","","","","","","","","572","FFFFFF","213334556","241D57","16","False","-18000","4461","30-something communicatrix: the written word, pop culture, geekery, tech, politics, IP, and her English bulldog. RTs not necessarily blah blah blah...","874","Ottawa","1C2866","http://pbs.twimg.com/profile_images/423461962446409728/t__d2K1o_normal.jpeg","False","False","https://pbs.twimg.com/profile_banners/213334556/1397145756","http://pbs.twimg.com/profile_background_images/438323927698268160/kcjV2tLv.jpeg","Gemma Collins","en","True","535","GemColl","False","null","Mon Nov 08 17:08:50 +0000 2010","False","Quito","False","False","False","null","2613454796","False","en","Tue Feb 24 18:19:59 +0000 2015","570282222135193601","null","en","recent","2613454796","29","39","2613454796","gccaedits","Gov. of Canada edits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","Wagon Wheels Wikipedia article edited anonymously from Shared Services Canada http://t.co/rg96VilKoE","null","570282602977992705","1","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","False","null","http://t.co/rg96VilKoE","78","100","http://en.wikipedia.org/w/index.php?diff=648657957&oldid=648657732","en.wikipedia.org/w/index.php?di…","null","null","1","570282602977992705","False","False","False","333333","False","2613454796","https://abs.twimg.com/images/themes/theme1/bg.png","False","null","https://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","DDEEF6","https://t.co/4ZSbMvg1K1","0","23","https://github.com/ruebot/gccaedits-ip-address-ranges","github.com/ruebot/gccaedi…","https://t.co/mip4rTkvth","117","140","https://github.com/edsu/anon","github.com/edsu/anon","6161","FFFFFF","2613454796","FFFFFF","147","False","-18000","1979","I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth","73","Canada","FF0000","http://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","True","False","https://pbs.twimg.com/profile_banners/2613454796/1404907996","http://abs.twimg.com/images/themes/theme1/bg.png","Gov. of Canada edits","en","False","9","gccaedits","False","https://t.co/4ZSbMvg1K1","Wed Jul 09 12:06:54 +0000 2014","False","Eastern Time (US & Canada)","False","False","False","null","null","False","en","Tue Feb 24 18:02:22 +0000 2015","null","null","en","recent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","Wagon Wheels Wikipedia article edited anonymously from Shared Services Canada http://t.co/xFoOednJXk","null","570282222135193601","2","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","False","null","http://t.co/xFoOednJXk","78","100","http://en.wikipedia.org/w/index.php?diff=648657732&oldid=648587757","en.wikipedia.org/w/index.php?di…","null","null","1","570282222135193601","False","False","False","333333","False","2613454796","https://abs.twimg.com/images/themes/theme1/bg.png","False","null","https://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","DDEEF6","https://t.co/4ZSbMvg1K1","0","23","https://github.com/ruebot/gccaedits-ip-address-ranges","github.com/ruebot/gccaedi…","https://t.co/mip4rTkvth","117","140","https://github.com/edsu/anon","github.com/edsu/anon","6161","FFFFFF","2613454796","FFFFFF","147","False","-18000","1979","I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth","73","Canada","FF0000","http://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","True","False","https://pbs.twimg.com/profile_banners/2613454796/1404907996","http://abs.twimg.com/images/themes/theme1/bg.png","Gov. of Canada edits","en","False","9","gccaedits","False","https://t.co/4ZSbMvg1K1","Wed Jul 09 12:06:54 +0000 2014","False","Eastern Time (US & Canada)","False","False","False","null","null","False","en","Tue Feb 24 18:00:51 +0000 2015","null","null","en","recent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","John's Journal is out! http://t.co/2NrnRCbSXL Stories via @daveexplosm @gccaedits @Momma_Sunshine","null","570186365209612288","0","<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","False","null","http://t.co/2NrnRCbSXL","23","45","http://paper.li/Tekebo/1332639392","paper.li/Tekebo/1332639…","null","null","0","570186365209612288","False","False","True","333333","False","28399206","https://pbs.twimg.com/profile_background_images/422779367/ParadigmChoice.jpeg","False","null","https://pbs.twimg.com/profile_images/561621869535981568/JUDgRa60_normal.jpeg","EFEFEF","http://t.co/oMysk7PZm2","0","22","http://www.thibeautime.blogspot.ca","thibeautime.blogspot.ca","","","","","","1435","FFFFFF","28399206","131516","52","False","-14400","23524","Public Relations & Social Media are my thing. Owner/Operator My South Shore Media (@SShoreMedia) 'temet noche'","1680","Yarmouth, Nova Scotia","009999","http://pbs.twimg.com/profile_images/561621869535981568/JUDgRa60_normal.jpeg","False","True","https://pbs.twimg.com/profile_banners/28399206/1349202073","http://pbs.twimg.com/profile_background_images/422779367/ParadigmChoice.jpeg","John Thibeau","en","True","2314","John_Thibeau","False","http://t.co/oMysk7PZm2","Thu Apr 02 19:17:08 +0000 2009","False","Atlantic Time (Canada)","False","False","False","null","null","False","en","Tue Feb 24 11:39:57 +0000 2015","null","null","en","recent","40299828","58","70","40299828","daveexplosm","Dave McElfatrick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2613454796","71","81","2613454796","gccaedits","Gov. of Canada edits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27713262","82","97","27713262","Momma_Sunshine","Momma Sunshine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","@Canada WHY? ""@gccaedits: Fresh Off the Boat Wikipedia article edited anonymously from Shared Services Canada http://t.co/XNifvM4IGW""","null","570127256464412672","0","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","null","http://t.co/XNifvM4IGW","110","132","http://en.wikipedia.org/w/index.php?diff=648593586&oldid=648531015","en.wikipedia.org/w/index.php?di…","Canada","2459609448","0","570127256464412672","False","False","True","333333","False","1239116058","https://abs.twimg.com/images/themes/theme1/bg.png","False","null","https://pbs.twimg.com/profile_images/3711235421/5756bd55078b13f5755de0d5cebb353e_normal.jpeg","DDEEF6","","","","","","","","","","","340","C0DEED","1239116058","C0DEED","12","False","null","2992","News junkie; semi-retired; wikipedia fanatic; have passport, will travel; shallower footprints through weight loss. Make me laugh!","1077","Victoria, BC, Canada","0084B4","http://pbs.twimg.com/profile_images/3711235421/5756bd55078b13f5755de0d5cebb353e_normal.jpeg","False","True","https://pbs.twimg.com/profile_banners/1239116058/1424759628","http://abs.twimg.com/images/themes/theme1/bg.png","Edward Ross","en","False","1661","Edward_YYJ","False","null","Sun Mar 03 15:10:14 +0000 2013","False","null","False","True","False","null","2459609448","False","en","Tue Feb 24 07:45:05 +0000 2015","null","null","en","recent","2459609448","0","7","2459609448","Canada","Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2613454796","14","24","2613454796","gccaedits","Gov. of Canada edits","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","False","Fresh Off the Boat Wikipedia article edited anonymously from Shared Services Canada http://t.co/B7Sxv8mhbC","null","570112697158799360","1","<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","False","null","http://t.co/B7Sxv8mhbC","84","106","http://en.wikipedia.org/w/index.php?diff=648593586&oldid=648531015","en.wikipedia.org/w/index.php?di…","null","null","2","570112697158799360","False","False","False","333333","False","2613454796","https://abs.twimg.com/images/themes/theme1/bg.png","False","null","https://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","DDEEF6","https://t.co/4ZSbMvg1K1","0","23","https://github.com/ruebot/gccaedits-ip-address-ranges","github.com/ruebot/gccaedi…","https://t.co/mip4rTkvth","117","140","https://github.com/edsu/anon","github.com/edsu/anon","6161","FFFFFF","2613454796","FFFFFF","147","False","-18000","1979","I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth","73","Canada","FF0000","http://pbs.twimg.com/profile_images/486845019920142336/D8tyW1L9_normal.png","True","False","https://pbs.twimg.com/profile_banners/2613454796/1404907996","http://abs.twimg.com/images/themes/theme1/bg.png","Gov. of Canada edits","en","False","9","gccaedits","False","https://t.co/4ZSbMvg1K1","Wed Jul 09 12:06:54 +0000 2014","False","Eastern Time (US & Canada)","False","False","False","null","null","False","en","Tue Feb 24 06:47:13 +0000 2015","null","null","en","recent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
