date,time,category,sub-category,article,branch,link
2014-07-09,14:22:45,sports,football,IFAF World Championship,Government of Canada,http://en.wikipedia.org/w/index.php?diff=616227522&oldid=616074126
2014-07-09,14:26:22,sports,soccer,International Federation of American Football,Government of Canada,http://en.wikipedia.org/w/index.php?diff=616228022&oldid=616203971
2014-07-11,13:03:39,military,military unit,List of military special forces units,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=616519601&oldid=616085904
2014-07-11,18:10:35,place,europe,Zwolle,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=616555600&oldid=613709681
2014-07-11,18:11:28,place,europe,Zwolle,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=616555706&oldid=616555600
2014-07-11,18:22:57,politics,politician,René Lévesque,Canadian Department of National Defence,http://de.wikipedia.org/w/index.php?diff=132062104&oldid=130526099
2014-07-14,17:26:00,sports,football,Ottawa Renegades,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=616937197&oldid=615517330
2014-07-14,17:32:43,military,military unit,Regional Cadet Support Unit (Eastern),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=616937972&oldid=575677653
2014-07-14,18:06:12,science,scientist,Afzal Upal,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=616942063&oldid=616709271
2014-07-14,20:04:35,politics,politician,Shelly Glover,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=616955878&oldid=602651140
2014-07-14,20:08:40,politics,politician,Shelly Glover,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=616956486&oldid=616955928
2014-07-15,12:21:51,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617039168&oldid=609698119
2014-07-15,12:31:26,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617039952&oldid=617039168
2014-07-15,12:35:53,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617040379&oldid=617039952
2014-07-15,13:53:44,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617048110&oldid=617040379
2014-07-15,16:12:50,place,quebec canada,Trans-Taiga Road,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617065125&oldid=541319153
2014-07-15,16:13:32,place,quebec canada,Trans-Taiga Road,Canadian Department of National Defence,http://en.wikipedia.org/w/index.php?diff=617065206&oldid=617065125
2014-07-15,17:34:38,military,military place,CFS Leitrim,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617074758&oldid=614455856
2014-07-15,17:43:58,politics,politician,Dean Del Mastro,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617075829&oldid=617000688
2014-07-15,17:45:25,politics,politician,Dean Del Mastro,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617076015&oldid=617075829
2014-07-15,17:46:49,politics,politician,Dean Del Mastro,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617076158&oldid=617076015
2014-07-15,17:47:45,politics,politician,Dean Del Mastro,Canadian House of Commons,http://en.wikipedia.org/w/index.php?diff=617076272&oldid=617076158
