date,category,sub-category,article,branch
09/07/2014,sports,football,IFAF World Championship,Government of Canada
09/07/2014,sports,soccer,International Federation of American Football,Government of Canada
11/07/2014,military,military unit,List of military special forces units,Canadian Department of National Defence
11/07/2014,place,europe,Zwolle,Canadian House of Commons
11/07/2014,place,europe,Zwolle,Canadian House of Commons
11/07/2014,politics,politician,René Lévesque,Canadian Department of National Defence
14/07/2014,sports,football,Ottawa Renegades,Canadian House of Commons
14/07/2014,military,military unit,Regional Cadet Support Unit (Eastern),Canadian Department of National Defence
14/07/2014,science,scientist,Afzal Upal,Canadian Department of National Defence
14/07/2014,politics,politician,Shelly Glover,Canadian House of Commons
14/07/2014,politics,politician,Shelly Glover,Canadian House of Commons
15/07/2014,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence
15/07/2014,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence
15/07/2014,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence
15/07/2014,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence
15/07/2014,place,quebec canada,Trans-Taiga Road,Canadian Department of National Defence
15/07/2014,place,quebec canada,Trans-Taiga Road,Canadian Department of National Defence
15/07/2014,military,military place,CFS Leitrim,Canadian House of Commons
15/07/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
15/07/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
15/07/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
15/07/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
15/07/2014,media,internet,Small Dead Animals,Canadian House of Commons
15/07/2014,media,internet,Small Dead Animals,Canadian House of Commons
15/07/2014,user,user,User talk:192.197.82.203,Canadian House of Commons
15/07/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
15/07/2014,place,ontario canada,Canadian Museum of History,Canadian House of Commons
15/07/2014,media,internet,Small Dead Animals,Canadian House of Commons
15/07/2014,user,user,User talk:192.197.82.203,Canadian House of Commons
16/07/2014,military,military equipment,SIG Sauer P220,Canadian Department of National Defence
16/07/2014,politics,politician,Pierre-Hugues Boisvenu,Canadian House of Commons
16/07/2014,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence
16/07/2014,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence
16/07/2014,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence
16/07/2014,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence
16/07/2014,military,military unit,4th Canadian Division Support Group,Canadian Department of National Defence
16/07/2014,military,military unit,4th Canadian Division,Canadian Department of National Defence
17/07/2014,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence
18/07/2014,military,military unit,Canadian Military Engineers,Canadian Department of National Defence
18/07/2014,media,radio,The Current (radio program),Department of Justice Canada
18/07/2014,military,military unit,Princess Patricia's Canadian Li,Canadian Department of National Defence
18/07/2014,military,military battle,Battle of the Allia,Natural Resources Canada
18/07/2014,military,military battle,Battle of the Allia,Natural Resources Canada
20/07/2014,language,language,宣道會陳元喜小學,Canadian Department of National Defence
21/07/2014,military,military place,Naval Radio Section Aldergrove,Canadian Department of National Defence
21/07/2014,military,military unit,HMCS Esquimalt (J272),Canadian Department of National Defence
21/07/2014,sports,football,Ottawa Redblacks,Canadian House of Commons
21/07/2014,politics,politics event,6th BRICS summit,Canadian Department of National Defence
21/07/2014,sports,football,Richard Conn,Natural Resources Canada
21/07/2014,media,music,Sitar,Statistics Canada
21/07/2014,sports,football,Richard Conn,Natural Resources Canada
21/07/2014,place,alberta canada,West Edmonton Mall,Natural Resources Canada
22/07/2014,politics,politician,List of current Parliamentary Secretaries of Ca,Library and Archives Canada
22/07/2014,politics,politics event,New Democratic Party (Canada) leadership election,Canadian House of Commons
22/07/2014,talk,talk,Talk:Corneliu Chisu,Canadian House of Commons
22/07/2014,talk,talk,Talk:Corneliu Chisu,Canadian House of Commons
23/07/2014,military,military unit,The Windsor Regiment (RCAC),Canadian Department of National Defence
23/07/2014,science,math,Shadow price,Department of Fisheries and Oceans
23/07/2014,politics,politics event,Constitutional debate in Canada,Canadian House of Commons
23/07/2014,science,math,Trigonométrie sphérique,Environment Canada
23/07/2014,military,military unit,FNSS ACV-15,Canadian Department of National Defence
24/07/2014,media,music,Minor third,Department of Fisheries and Oceans
24/07/2014,poltics,royalty,Maria of Portugal Duchess of Viseu,Library and Archives Canada
24/07/2014,deleted,deleted,Gabriel Landry,Environment Canada
24/07/2014,military,military unit,Mission Command,Canadian Department of National Defence
24/07/2014,military,military unit,Mission Command,Canadian Department of National Defence
24/07/2014,military,military unit,Mission Command,Canadian Department of National Defence
24/07/2014,politics,politician,Robert Goguen,Canadian House of Commons
24/07/2014,politics,politician,Robert Goguen,Canadian House of Commons
24/07/2014,politics,politician,Robert Goguen,Canadian House of Commons
24/07/2014,sports,football,Atlanta Falcons,Statistics Canada
24/07/2014,education,university,Grenoble Institute of Political Studies,Department of Justice Canada
24/07/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
25/07/2014,language,name,Jewish surname,Canadian House of Commons
25/07/2014,media,author,Johann Hari,Canadian House of Commons
25/07/2014,military,military unit,The Argyll and Sutherland Highl,Canadian Department of National Defence
25/07/2014,military,military unit,The Argyll and Sutherland Highl,Canadian Department of National Defence
25/07/2014,talk,talk,Talk:State of Palestine,Canadian House of Commons
25/07/2014,product,food,Poutine,Canadian House of Commons
25/07/2014,politics,department,House of Commons of Canada,Canadian House of Commons
25/07/2014,media,date,Friday,Canadian House of Commons
28/07/2014,company,company,List of companies named after peopl,Canadian Department of National Defence
29/07/2014,technology,technology,Automation,Shared Services Canada
29/07/2014,talk,talk,Talk:Arlington Texas,Shared Services Canada
29/07/2014,politics,politician,Robert Goguen,Canadian House of Commons
29/07/2014,politics,politician,Robert Goguen,Canadian House of Commons
29/07/2014,politics,politician,Thanh Hai Ngo,Canadian House of Commons
29/07/2014,place,nova scotia canada,Halifax Nova Scotia,Department of Fisheries and Oceans
29/07/2014,place,nova scotia canada,Halifax Nova Scotia,Shared Services Canada
29/07/2014,place,nova scotia canada,Halifax Nova Scotia,Department of Fisheries and Oceans
29/07/2014,place,nova scotia canada,Halifax Nova Scotia,Shared Services Canada
30/07/2014,media,television,The Scooby and Scrappy-Doo Puppy Hour,Government of Canada
30/07/2014,media,television,The Scooby and Scrappy-Doo Puppy Hour,Shared Services Canada
30/07/2014,media,television,Scary Scooby Funnies,Government of Canada
30/07/2014,media,television,Scary Scooby Funnies,Shared Services Canada
30/07/2014,media,film,List of English Academy Award nominees and winners,Shared Services Canada
30/07/2014,media,television,Scooby-Doo,Government of Canada
30/07/2014,media,television,Scooby-Doo,Shared Services Canada
30/07/2014,media,television,Blowing Smoke (Mad Men),Shared Services Canada
30/07/2014,politics,poltical event,Economy of Ontario,Industry Canada
30/07/2014,media,television,Fred Flintstone and Friends,Government of Canada
30/07/2014,media,television,Fred Flintstone and Friends,Shared Services Canada
30/07/2014,sports,hockey,Rocky Saganiuk,Industry Canada
30/07/2014,sports,hockey,Rocky Saganiuk,Industry Canada
30/07/2014,place,ontario canada,St. Catharines,Shared Services Canada
30/07/2014,place,ontario canada,C. D. Howe Building,Industry Canada
31/07/2014,religion,religious sect,Faith Chepngetich Kipyegon,Shared Services Canada
31/07/2014,religion,religious sect,Faith Chepngetich Kipyegon,Shared Services Canada
31/07/2014,religion,religious sect,Faith Chepngetich Kipyegon,Shared Services Canada
