coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon Feb 23 19:41:55 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648520348&oldid=647998580,0,569945268625522688,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Pattie Mallette Wikipedia article edited anonymously from Shared Services Canada http://t.co/x7bOiAahZ2,https://twitter.com/gccaedits/status/569945268625522688,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 18:46:12 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648512833&oldid=646204613,0,569931244479361025,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",LAPV Enok Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/rIzH1X5pAh,https://twitter.com/gccaedits/status/569931244479361025,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 17:33:31 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648503413&oldid=648503017,0,569912956626051073,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",HMCS Algonquin (DDG 283) Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/D6hFE3f9M0,https://twitter.com/gccaedits/status/569912956626051073,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 17:30:37 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648503017&oldid=648404939,0,569912225651150848,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",HMCS Algonquin (DDG 283) Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/b592OC5vQa,https://twitter.com/gccaedits/status/569912225651150848,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 14:42:29 +0000 2015,,,,1,569869913873113088,gccaedits,569858611922542593,2613454796,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",".@gccaedits why is the GoC editing Wikipedia? 

Why don't they update their OWN website, @pmharper?",https://twitter.com/Pepperfire/status/569869913873113088,Mon Nov 03 16:05:09 +0000 2008,Pepperfire,False,"Unitarian, tarot reading, autistic swamp witch with a penchant for using chilli peppers to change the world.",16124,5188,3821,297,"ÜT: 45.487434,-74.314264",Tina Brooks.,Pepperfire,67058,Central Time (US & Canada),http://about.me/Pepperfire,False
,Mon Feb 23 13:58:49 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648477066&oldid=648466420,0,569858923655794690,,,,en,,False,1,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Talk:Dumas Brothel Wikipedia article edited anonymously from Natural Resources Canada http://t.co/G1J2wsl2PX,https://twitter.com/gccaedits/status/569858923655794690,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 13:57:35 +0000 2015,,,http://fr.wikipedia.org/w/index.php?diff=112115909&oldid=112032317&rcid=136126552,0,569858611922542593,,,,en,,False,0,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Charny (Lévis) Wikipedia article edited anonymously from Canadian Department of National Defence http://t.co/E6eBuBGRwd,https://twitter.com/gccaedits/status/569858611922542593,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 11:30:52 +0000 2015,,,http://paper.li/sylvielaflamme,0,569821691687391232,,,,fr,,False,0,,,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","Sylvie Laflamme, le Journal is out! http://t.co/Ho5rnEzJBt Stories via @gccaedits",https://twitter.com/sylvielaflamme/status/569821691687391232,Fri Jun 05 17:37:58 +0000 2009,sylvielaflamme,False,"auteure de plus de 95 livres numériques, gestionnaire de http://t.co/URvx6lgt3J fondatrice du projet  http://t.co/2B7M58GN5V",5,1215,1128,22,Ste-Anne-des-Plaines (Qc) ,Sylvie Laflamme,sylvielaflamme,3293,Saskatchewan,http://www.pretavendre.com,False
,Mon Feb 23 08:50:21 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648450809&oldid=646259115,1,569781295993262080,,,,en,,False,2,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>","Frank Sinatra, Jr. Wikipedia article edited anonymously from Shared Services Canada http://t.co/FBVZoA5DvS",https://twitter.com/gccaedits/status/569781295993262080,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
,Mon Feb 23 07:09:37 +0000 2015,,,http://en.wikipedia.org/w/index.php?diff=648441988&oldid=391204791,1,569755945062027264,,,,en,,False,2,,,"<a href=""https://twitter.com/gccaedits"" rel=""nofollow"">GC CA Edits</a>",Talk:Great power/History Wikipedia article edited anonymously from Shared Services Canada http://t.co/fJ85dVUJ2e,https://twitter.com/gccaedits/status/569755945062027264,Wed Jul 09 12:06:54 +0000 2014,gccaedits,False,I'm a bot that tweets anonymous Wikipedia edits that are made from Canadian Government IP addresses. I'm powered by: https://t.co/mip4rTkvth,9,6161,73,147,Canada,Gov. of Canada edits,gccaedits,1972,Eastern Time (US & Canada),https://github.com/ruebot/gccaedits-ip-address-ranges,False
