category,sub-category
wikipedia,wikipedia
aboriginal,"aboriginal people, First Nations"
terrorism,"attack, terrorism plot"
template,template
technology,"internet, theory, software, cleaning, light rail, aviation, scientist, product, law, technology, computer, naval, radio, telephone, parachute, application, phone"
talk,talk
sports,"tennis, hockey, curling, pole vault, roller skating, football, athletics, soccer, mixed martial arts, bobsleigh, basketball, racing, jet ski, wrestling, lacrosse, baseball, rugby, water polo, table tennis, lawn game"
special,special
science ,theory
science,"math, theory, flood, science object, animal, space, geographic place, scientist, meteorology, science event, science place, air, technology, medicine, organisation, company, environment, product"
religion,"religious person, religious sect, religion, religious place, religious music"
project,project
product,"food, clothing, banking"
portal,portal
poltics,"politician, poltical event, royalty"
politics,"political history, political event, politician, law, organisation, politicians, department, politics event, royalty, event, coat of arms, poltician, political party, poltical event, people, banking, music, person, government"
police,"police, crime, firearms, prison"
places,ontario canada
place,"ontario canada, quebec canada, british colombia canada, america, mountain, europe, nova scotia canada, north america, africa, geography, caribbean, asia, alberta canada, new brunswick canada, manitoba canada, middle east, geographic term, nunavut canada, transport"
user,user
military,"military unit, military place, military equipment, soldier, military event, military rank, rank/appointment, military ranks, military battle, pilot"
media,"event, music, television, book, business, dancer, painting, radio, author, film, game, manga, comic, singer, play, comedy, internet, cartoon, poetry, media place, actor, games, art, musician, language, media, murderer, rapper, producer, editor, artist, model, company, date"
language,"language, title, event, name"
file,file
education,"university, professor, high school, education event, theory, school"
draft,draft
disambiguation,disambiguation
deleted,deleted
company,"restauraunt, retail company, media company, company, construction company"
commons,commons
category,category
aviation,"airline, airport, helicopter, plane"
automobiles,"car, motorcycle"
arts,"art viewer, architecture, legend, sculpture, actor"
art,"sociology, geographic history, political history, environmental history"
animal,water animal
alcohol,"beer, whiskey"
people,"canadian people, semite people, punjabi people, irish people"
